Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
静まる,しずまる,"to become quiet, quiet down",,,,,
家具,かぐ,furniture,,,,,
出席,しゅっせき,"attendance, presence, appearance​",,,,,
早速,さっそく,"at once, immediately",,,,,
舞う,まう,"to dance, flutter",,,,,
宿泊,しゅくはく,"accommodation, lodging",,,,,
過程,かてい,"process, course, mechanism",,,,,
倒す,たおす,"to throw down, bring down, knock down",,,,,
寝台,しんだい,"bed, couch",,,,,
住宅,じゅうたく,"residence, housing",,,,,
絵本,えほん,picture book,,,,,
破る,やぶる,"to tear, rip, break, destroy",,,,,
庭,にわ,"garden, yard, courtyard",,,,,
主婦,しゅふ,"housewife, homemaker",,,,,
余裕,よゆう,"surplus, margin, leeway",,,,,
訪れる,おとずれる,"to visit, call on, arrive, come",,,,,
冷やす,ひやす,"to cool, chill, refrigerate",,,,,
暮らす,くらす,"to live, get along",,,,,
お腹,おなか,"belly, abdomen, stomach​",,,,,
危ない,あぶない,"dangerous, risky, hazardous",,,,,
許可,きょか,"permission, approval, authorization, license",,,,,
似合う,にあ,"to suit, match, become",,,,,
険しい,けわしい,"rugged, inaccessible, steep",,,,,
財産,ざいさん,"property, fortune, assets",,,,,
遊園地,ゆうえんち,amusement park,,,,,
複雑,ふくざつ,"complex, complicated, intricate",,,,,
恐怖,きょうふ,"fear, dread, dismay, terror",,,,,
価値,かち,"value, worth, merit",,,,,
暗示,あんじ,"hint, suggestion",,,,,
積もる,つもる,"to pile up, accumulate",,,,,
夢中,むちゅう,"absorbed in, immersed in, crazy about",,,,,
頭痛,ずつう,headache,,,,,
豊富,ほうふ,"abundant, plentiful, rich, ample",,,,,
刻む,きざむ,"to mince, cut fine, chop up carve",,,,,
鳴る,なる,"to sound, ring, echo, roar",,,,,
欲しい,ほしい,"wanting, desiring",,,,,
途中,とちゅう,"on the way, en route",,,,,
曲がる,まがる,"to bend, curve, turn",,,,,
初耳,はつみみ,something heard for the first time,,,,,
完成,かんせい,"completion, perfection",,,,,
願書,がんしょ,"application, written request, petition",,,,,
無罪,むざい,"innocence, being not guilty​",,,,,
陽気,ようき,"cheerful, jovial, merry, lively​",,,,,
逃亡,とう,"escape, flight, running away",,,,,
散らかす,ちらかす,"to scatter around, leave untidy",,,,,
掛かる,かかる,"to take, hang",,,,,
昨今,さっこん,"nowadays, recently",,,,,
怒鳴る,どなる,"to shout, yell",,,,,
留守,るす,"absence, being away from home",,,,,
礼儀,れいぎ,"manners, courtesy, etiquette",,,,,
行列,ぎょうれつ,"line, queue, procession, parade",,,,,
雪崩,なだれ,"avalanche, snowslide",,,,,
支払う,しはらう,to pay​,,,,,
給料,きゅうりょう,"salary, wages, pay",,,,,
敗れる,やぶれる,"to be defeated, be beaten",,,,,
捕まえる,つかまえる,"to catch, capture, arrest, seize",,,,,
忘年会,ぼうねんかい,year-end party,,,,,
快晴,かいせい,"clear weather, cloudless weather",,,,,
要因,よういん,"main cause, primary factor",,,,,
折る,おる,"to break, fracture, fold",,,,,
歓迎,かんげい,"welcome, reception",,,,,
悲しむ,かなしむ,"to be sad, mourn for, regret",,,,,
空港,くうこう,airport,,,,,
責める,せめる,"to condemn, blame, criticize, press, urge",,,,,
解除,かいじょ,"termination, cancellation",,,,,
困難,こんなん,"difficulty, hardship, trouble, distress",,,,,
閉じる,とじる,"to close, shut",,,,,
吸う,すう,"to smoke, breathe, inhale",,,,,
髪型,かみがた,hair style,,,,,
花束,はなたば,"bunch of flowers, bouquet",,,,,
睡眠,すいみん,sleep,,,,,
貿易,ぼうえき,foreign trade,,,,,
同窓会,どうそうかい,alumni association,,,,,
祖母,そぼ,grandmother,,,,,
通勤,つうきん,commuting to work,,,,,
昔話,むかしばなし,"old tale, folk tale, legend",,,,,
便所,べんじょ,"toilet, lavatory, water closet",,,,,
快適,かいてき,"pleasant, agreeable, comfortable",,,,,
吹奏,すいそう,"playing a wind instrument, blowing",,,,,
天候,てんこう,weather,,,,,
恐怖,きょうふ,"fear, dread, dismay, terror",,,,,
辞める,やめる,"to resign, retire, quit",,,,,
拒否,きょひ,"refusal, rejection, denial",,,,,
遅れる,おくれる,"to be late, be delayed",,,,,
禁煙,きんえん,quitting smoking,,,,,
教徒,きょうと,"believer, adherent",,,,,
けっせき,けっせき,"absence, non-attendance​",,,,,
低迷,ていめい,"hanging low, remaining low",,,,,
洗濯,せんたく,"washing, laundry",,,,,
相互,そうご,"mutual, reciprocal",,,,,
才能,さいのう,"talent, ability",,,,,
変更,へんこう,"change, modification, alteration",,,,,
歯科医,しかい,dentist,,,,,
強盗,ごうとう,"robber, mugger",,,,,
慣れる,なれる,"to get used to, grow accustomed to",,,,,
晩御飯,ばんごはん,"dinner, evening meal",,,,,
本箱,ほんばこ,bookcase,,,,,
到頭,とうとう,"finally, at last",,,,,
頂上,ちょうじょう,"top, summit, peak",,,,,
一杯,いっぱい,"one cup of, a glass of",,,,,
皆様,みなさま,everyone,,,,,
招く,まねく,"to invite, ask, beckon. call",,,,,
寒波,かんぱ,cold wave,,,,,
恥じる,はじる,to feel ashamed,,,,,
疲労,ひろう,"fatigue, weariness, exhaustion",,,,,
貧しい,まずしい,"poor, needy",,,,,
猫背,ねこぜ,"bent back, hunchback, stoop",,,,,
誤解,ごかい,misunderstanding,,,,,
努力,どりょく,"effort, exertion, endeavour",,,,,
幾ら,いくら,how much,,,,,
賛美,さんび,"praise, glorification, extolment",,,,,
偶に,たまに,"occasionally, once in a while",,,,,
多忙,たぼう,"being very busy, busyness",,,,,
泳ぐ,およぐ,to swim,,,,,
靴下,くつした,socks,,,,,
偉大,いだい,"great, grand, magnificent, outstanding",,,,,
具合,ぐあい,"condition, state (health)",,,,,
部長,ぶちょう,section head,,,,,
彼氏,かれし,boyfriend​,,,,,
内容,ないよう ,"contents, substance",,,,,
実際,じっさい ,"reality, truth",,,,,
相当,そうとう,"corresponding to, appropriate",,,,,
戦術,せんじゅつ,tactics,,,,,
性別,せいべつ,gender,,,,,
応対,おうたい,"dealing with, attending to",,,,,
税関,ぜいかん,customs,,,,,
感染,かんせん,"infection, contagion",,,,,
設定,せってい,establishment,,,,,
政策,せいさく,"political measures, policy",,,,,
取材,しゅざい,"news coverage, collecting data",,,,,
所得,しょとく,"income, earnings​",,,,,
現地,げんち,actual place,,,,,
最善,さいぜん,"the very best, utmost",,,,,
化学物質,かがくぶっしつ,chemical substances,,,,,
移民,いみん,"immigration, emigration",,,,,
相談,そうだん,"consultation, discussion",,,,,
法則,ほうそく,"law, rule",,,,,
全く,まったく,"really, truly, completely",,,,,
情け,なさけ,"pity, sympathy, compassion",,,,,
向ける,むける,"to turn towards, to point​",,,,,
平ら,たいら,"flat. level, even, calm",,,,,
賛成,さんせい,"approval, agreement",,,,,
経つ,たつ,"to pass, to elapse",,,,,
信号,しんごう,"signal,  traffic signal",,,,,
表面,ひょうめん,"surface, face",,,,,
関連,かんれん,"relation, connection",,,,,
原っぱ,はらっぱ,"open field, empty lot",,,,,
顔面,がんめん,face (of person),,,,,
機能,きのう,"function, facility, feature",,,,,
次第,しだい,depending on​,,,,,
周波数,しゅうはすう,frequency,,,,,
美人,びじん, beautiful woman,,,,,
回り道,まわりみち,"detour, diversion",,,,,
表現,ひょうげん,expression,,,,,
音声,おんせい,"voice, speech",,,,,
報いる,むくいる,"to reward, recompense",,,,,
重要,じゅうよう,important,,,,,
変える,かえる,"to chnage, alter",,,,,
神経,しんけい,"nerves, sensitivity",,,,,
記録,きろく,"to record, record, documents",,,,,
和む,なごむ,"to be softened, calm down",,,,,
取引,とりひき,"transactions, dealings, business​",,,,,
治める,おさめる,"to govern, manage",,,,,
解決,かいけつ,"settlement, solution, resolution",,,,,
太陽,たいよう,sun,,,,,
割り込む,わりこむ,"to cut into a line, edge oneself",,,,,
受験,じゅけん,taking an examination,,,,,
解散,かいさん,"breaking up, dispersal",,,,,
市街,しがい,"urban areas, the streets",,,,,
延期,えんき,postponement,,,,,
皆様,みなさま,everyone,,,,,
活動,かつどう,activity,,,,,
先頭,せんとう,"head, front, lead, forefront",,,,,
組織,そしき,organization,,,,,
指す,さす,"to point, specify, indicate",,,,,
説く,とく,"to explain, advocate",,,,,
能力,のうりょく,ability,,,,,
落ち葉,おちば,fallen leaves,,,,,
一流,いちりゅう,"first-class, top grade",,,,,
突然,とつぜん,"abrupt, sudden, unexpected",,,,,
初めて,はじめて,for the first time​,,,,,
滞在,たいざい,stay,,,,,
順調,じゅんちょう,favourable,,,,,
微笑,びしょう,smile,,,,,
不思議,ふしぎ,"wonderful, strange, incredible",,,,,
直接,ちょくせつ,"direct, immediate, personal",,,,,
夫婦,ふうふ,married couple,,,,,
選択,せんたく,"choice, selection, option",,,,,
著作権,ちょさくけん,copyright,,,,,
利口,りこう,"clever, intelligent, wise, bright",,,,,
制度,せいど,"system, institution, organization",,,,,
接続,けいぞく,"connection, attachment, union, joint, link",,,,,
石垣,いしがき,stone wall,,,,,
進行,しんこう,moving forward,,,,,
伝える,つたえる,"to convey, report, transmit",,,,,
加減,かげん,"degree, extent, amount, balance, state",,,,,
助言,じょげん,"advice, counsel, suggestion, tip",,,,,
点ける,つける,"to turn on, switch on, light up",,,,,
財産,ざいさん,"property, fortune, assets",,,,,
事務局,じむきょく,"secretariat, executive office​",,,,,
用件,ようけん,"business, thing to be done",,,,,
運命,うんめい,"fate, destiny, lot",,,,,
順番,じゅんばん,"turn in line, order of things",,,,,
墜落,ついらく,"fall, crash (e.g. aircraft)",,,,,
寄付,きふ,"contribution, donation",,,,,
独特,どくとく,"peculiarity, uniqueness, characteristic",,,,,
格好,かっこう,"shape, form, figure, posture, appearance",,,,,
相違,そうい,"difference, discrepancy, variation",,,,,
殺人,さつじん,"murder, homicide",,,,,
装置,そうち,"equipment, device, installation",,,,,
返済,へんさい,"repayment, reimbursement, refund",,,,,
議論,ぎろん,"argument, discussion, dispute",,,,,
実際,じっさい,"reality, truth, fact, actual",,,,,
歳暮,せいぼ,"year-end gift, year end",,,,,
反る,そる,"to warp, curve, arch, bend",,,,,
地形,ちけい,"terrain, geographical features",,,,,
光る,ひかる,"to shine, glitter, be bright",,,,,
首,くび,neck,,,,,
勝る,まさる,"to excel, surpass, exceed, have an edge",,,,,
必ず,かならず,"always, without exception",,,,,
係員,かかりいん,"person in charge, official",,,,,
経由,けいゆ,"going through, going via",,,,,
愛情,あいじょう,"love, affection",,,,,
都合,つごう,"circumstances, condition, arrange",,,,,
解放,かいほう,"release, unleashing",,,,,
正確,せいかく,"accurate, correct, precise, exact",,,,,
過失,かしつ,"accident, error, blunder",,,,,
婚約,こんやく,"engagement, betrothal",,,,,
馬車,ばしゃ,"coach, carriage, wagon",,,,,
状態,じょうたい,"state, condition, situation, appearance",,,,,
想像,そうぞう,"imagination, supposition, guess",,,,,
器官,きかん,body organ,,,,,
交換,こうかん,"exchange, interchange, switching",,,,,
米価,べいか,rice price,,,,,
配る,くばる,"to distribute, hand out, deliver",,,,,
若干,じゃっかん,"some, few, a number of",,,,,
資料,しりょう,"materials, data",,,,,
非常,ひじょう,"emergency, extreme",,,,,
効果,こうか,"effect, effectiveness, efficacy",,,,,
呼称,こしょう,"name, designation, denomination",,,,,
共同,きょうどう,"cooperation, collaboration, association",,,,,
残業,ざんぎょう,overtime work,,,,,
評判,ひょうばん,"reputation, estimation, popularity",,,,,
役目,やくめ,"duty, role, function",,,,,
他方,たほう,the other way,,,,,
戦術,せんじゅつ,tactics,,,,,
支える,ささえる,"to support, prop, sustain",,,,,
両立,りょうりつ,"compatibility, coexistence",,,,,
乗せる,のせる,"place on, give a ride, load, carry",,,,,
救済,きゅうさい,"relief, aid, help, rescue",,,,,
提供,ていきょう,"offer, tender, providing, supply",,,,,
性格,せいかく,"character, personality",,,,,
打開,だかい,break in the deadlock,,,,,
御土産,おみやげ,local specialty,,,,,
決断,けつだん,"decision, determination",,,,,
公式,こうしき,"official, formal",,,,,
講師,こうし,"speaker, lecturer​",,,,,
告げる,つげる,"to tell, inform announce",,,,,
深刻,しんこく,"serious, severe, grave, acute",,,,,
存じる,ぞんじる,"to think, feel, consider, know",,,,,
競争,きょうそう,"competition, contest, rivalry",,,,,
感覚,かんかく,"sense, sensation, feeling, intuition",,,,,
裏側,うらがわ,"the reverse, other side, lining",,,,,
飛躍,ひやく,"leap, jump",,,,,
参考,さんこう,"reference, consultation",,,,,
突然,とつぜん,"abrupt, sudden, unexpected​",,,,,
容器,ようき,"container, vessel",,,,,
教育,きょういく,"education, schooling",,,,,
構える,かまえる,"to set up, build , establish, run",,,,,
承認,しょうにん,"recognition, acknowledgement",,,,,
地位,ちい,"social position, status, standing",,,,,
発達,はったつ,"development, growth",,,,,
守る,まもる,"to protect, guard,  defend",,,,,
満たす,みたす,"to satisfy, meet, fulfill",,,,,
消費,しょうひ,"consumption, expenditure, spending",,,,,
就任,しゅうにん,"assumption, taking up",,,,,
居住,きょじゅう,"residence, abode, dwelling​",,,,,
予想,よそう,"expectation, anticipation",,,,,
進路,しんろ,"route, course, path",,,,,
座布団,ざぶとん, flat floor cushion,,,,,
旅客,りょかく,"passenger, traveller",,,,,
造船,ぞうせん,shipbuilding,,,,,
追跡,ついせき,"chase, pursuit, tracking, following",,,,,
背く,そむく,"to run counter to, go against",,,,,
観測,かんそく,"observation, survey, measurement",,,,,
誰でも,だれでも,"anyone, anybody",,,,,
休息,きゅうそく,"rest, relief, relaxation",,,,,
失敗,しっぱい,"failure, mistake, blunder",,,,,
老ける,ふける,"to age, grow old",,,,,
良質,りょうしつ,"good quality, fine quality",,,,,
暗示,あんじ,"hint, suggestion",,,,,
記号,きごう,"symbol, code, sign, notation",,,,,
転職,てんしょく,"change of occupation, career change",,,,,
王室,おうしつ,royal family,,,,,
常識,じょうしき,common sense,,,,,
警戒,けいかい,"vigilance, caution, alertness",,,,,
優秀,ゆうしゅう,"superior, excellent, brilliant",,,,,
投票,とうひょう,"voting, ballot, poll",,,,,
結局,けっきょく,"after all, in the end",,,,,
避難,ひなん,"taking refuge, finding shelter",,,,,
予防接種,よぼうせっしゅ,"vaccination, inoculation, immunization",,,,,
記念,きねん,"commemoration, celebration",,,,,
寄付,きふ,"contribution, donation",,,,,
商業,しょうぎょう,"commerce, trade, business",,,,,
損害,そんがい,"damage, injury, loss",,,,,
信頼,しんらい,"reliance, trust, faith, confidence",,,,,
横転,おうてん,"toppling sideways, turning sideways",,,,,
増加,ぞうか,"increase, rise, growth, addition",,,,,
差異,さい,"difference, disparity, gap",,,,,
苦労,くろう,"trouble, hardship, difficulty",,,,,
吸収,きゅうしゅう,"absorption, suction, attraction",,,,,
普段,ふだん,"usual, normal, everyday",,,,,
俺達,おれたち,"we, us",,,,,
渡航,とこう,"voyage, passage, travelling",,,,,
関与,かんよ,"participation, taking part in",,,,,
演出,えんしゅつ,"direction, production, staging",,,,,
設備,せつび,"equipment, facilities, installation",,,,,
申告,しんこく,"report, statement, declaration",,,,,
例える,たとえる,"to compare, liken",,,,,
稼働,かどう,"operation, running",,,,,
背景,はいけい,"background, scenery, backdrop",,,,,
抜群,ばつぐん,"outstanding, excellent",,,,,
遠足,えんそく,"excursion, outing, trip",,,,,
拒絶,きょぜつ,"refusal, rejection",,,,,
負う,おう,"to bear, carry on one's back​",,,,,
裕福,ゆうふく,"wealthy, rich; affluent, well-off",,,,,
野球,やきゅう,baseball,,,,,
飲酒,いんしゅ,drinking alcohol,,,,,
諸君,しょくん,"you, ladies and gentlemen",,,,,
診察,しんさつ,medical examination,,,,,
失望,しつぼう,"disappointment, despair",,,,,
婚約,こんやく,"engagement, betrothal",,,,,
単語,たんご,"word, vocabulary",,,,,
押収,おうしゅう,"seizure, confiscation",,,,,
割合,わりあい,"rate, ratio, percentage, proportion",,,,,
権限,けんげん,"power, authority, jurisdiction",,,,,
差し戻す,さしもどす,"to send back, refer back",,,,,
科目,かもく,"subject, curriculum, course",,,,,
追求,ついきゅう,"pursuit, chase, search. seek",,,,,
雑談,ざつだん,"chatting, idle talk",,,,,
降雪,こうせつ,"snowfall, snow",,,,,
妻子,さいし,wife and children,,,,,
岡山県,おかやまけん,okayama prefecture,,,,,
加熱,かねつ,"heating, application of heat",,,,,
浮上,ふじょう,"surfacing, emerging",,,,,
上等,じょうとう,"superior, first-class, excellent",,,,,
端末,たんまつ,"terminal, computer terminal​",,,,,
幸い,さいわい,"happiness, blessedness, luck",,,,,
草原,そうげん,"grassy field, grassland, meadow",,,,,
卓越,たくえつ,"excellence, superiority, transcendence",,,,,
登録,とうろく,"register, entry, record",,,,,
類い,たぐい,"kind, sort, type​",,,,,
未知,みち,"not yet known, unknown, strange",,,,,
規範,きはん,"model, standard, pattern, norm",,,,,
精巧,せいこう,"elaborate, delicate, exquisite",,,,,
辛抱,しんぼう,"patience, endurance",,,,,
苦労,くろう,"trouble, hardship, difficulty",,,,,
処置,しょち,"measure, step, dealing with",,,,,
退く,しりぞく,"to step back, move back, retreat",,,,,
消費,しょうひ,"consumption, expenditure, spending",,,,,
非行,ひこう,delinquency; misconduct​,,,,,
歓喜,かんき,"delight, great joy",,,,,
田舎娘,いなかむすめ,country girl,,,,,
逃走,とうそう,"flight, desertion, escape​",,,,,
探る,さぐる,"to feel around for, investigate",,,,,
犯人,はんにん,"offender, criminal",,,,,
薬缶,やかん,kettle,,,,,
幼稚園,ようちえん,kindergarten,,,,,
疑惑,ぎわく,"doubt, misgivings, distrust, suspicion",,,,,
端緒,たんしょ,"start, beginning, first step, clue",,,,,
冷静,れいせい,"calmness, composure, coolness, serenity",,,,,
具体的,ぐたいてき,"concrete, definite, specific",,,,,
着席,ちゃくせき,"taking a seat, sitting down",,,,,
速達,そくたつ,"express, special delivery",,,,,
振る舞う,ふるふまう,"to behave, conduct oneself, entertain",,,,,
宿る,やどる,"to dwell, live, stay at",,,,,
日程,にってい,"schedule, program, agenda",,,,,
圧倒,あっとう,"to overwhelm, overpower",,,,,
寝坊,ねぼう,"sleeping in late, oversleeping",,,,,
宅配便,たくはいびん,express home delivery service,,,,,
挿絵,さしえ,"illustration, picture",,,,,
破片,はへん,"fragment, broken piece, splinter",,,,,
校庭,こうてい,schoolyard,,,,,
家政婦,かせいふ,"housekeeper, maid",,,,,
余暇,よか,"leisure, leisure time, spare time",,,,,
訪問,ほうもん,"call, visit",,,,,
冷凍,れいとう,"freezing, cold storage, refrigeration",,,,,
野暮,やぼ,"unsophisticated, unrefined",,,,,
裏腹,うらはら,"opposite, reverse, contrary",,,,,
危ぶむ,あやぶむ,"to fear, doubt, apprehensive",,,,,
許容,きょよう,"permission, allowance, acceptance, tolerance",,,,,
類似,るいじ,"resemblance, similarity, likeness",,,,,
真剣,しんけん,"serious, earnest",,,,,
財政,ざいせい,"public finance, financial affairs",,,,,
遊び場,あそびば,playground,,,,,
混雑,こんざつ,"congestion, crush, crowding",,,,,
恐ろしい,おそろしい,"terrible, dreadful, terrifying",,,,,
値する,あたいする,"to be worth, be worthy of, deserve",,,,,
暗記,あんき,memorization,,,,,
積む,つむ,"to pile up, stack, load",,,,,
夢想,むそう,"dream, vision",,,,,
痛める,いためる,"to hurt, injure, cause pain​",,,,,
富裕,ふゆう,"wealth, riches, affluence",,,,,
彫刻,ちょうこく,"carving, engraving, sculpture",,,,,
共鳴,きょうめい,"resonance, sympathy",,,,,
意欲,いよく,"will, desire, interest",,,,,
用途,ようと,"use, service, purpose",,,,,
戯曲,ぎきょく,"drama, play​",,,,,
耳打ち,みみうち,whispering into a person's ear,,,,,
完璧,かんぺき,"perfect, complete, flawless",,,,,
志願,しがん,"aspiration, volunteering, desire",,,,,
有罪,ゆうざい,"guilt, culpability​",,,,,
陽光,ようこう,"sunshine, sunlight",,,,,
滅亡,めつぼう,"downfall, ruin, collapse, destruction",,,,,
解散,かいさん,"breaking up, dispersal",,,,,
切っ掛け,きっかけ,"chance, start, cue, excuse",,,,,
昨秋,さくしゅう,fall of last year​,,,,,
激怒,げきど,"rage, fury",,,,,
書留,かきとめ,"registered mail, noting down",,,,,
謝礼,しゃれい,"reward, honorarium, remuneration​",,,,,
陳列,ちんれつ,"exhibition, display, putting on show",,,,,
吹雪,ふぶき,"snow storm, blizzard",,,,,
酔っ払う,よっぱらう,to get drunk,,,,,
供給,きょうきゅう,"supply, provision",,,,,
腐敗,ふはい,"decomposition, spoilage, corruption, decay",,,,,
捕る,とる,"to catch, capture",,,,,
忘れ物,わすれもの,lost article,,,,,
晴天,せいてん,fine weather ,,,,,
起因,きいん,"to be caused by, result from",,,,,
挫折,ざせつ,"setback, failure, frustration",,,,,
迎撃,げいげき,"intercept, interception, counter-attack",,,,,
悲惨,ひさん,"disastrous, tragic, miserable",,,,,
港湾,こうわん,harbour,,,,,
責務,せきむ,"duty, obligation",,,,,
除く,のぞく,"to remove, eliminate, eradicate",,,,,
貧困,ひんこん,"poverty, penury, need, destitution​, lack",,,,,
閉店,へいてん,closing up shop for the day,,,,,
呼吸,こきゅう,"breathing, respiration",,,,,
金髪,きんぱつ,blond hair,,,,,
束ねる,たばねる,"to tie up in a bundle, sheathe",,,,,
催眠,さいみん,hypnosis,,,,,
容易,ようい,"easy, simple, plain",,,,,
窓際,まどぎわ,at the window,,,,,
先祖,せんぞ,"ancestor, forefather",,,,,
転勤,てんきん,"job transfer, job relocation",,,,,
昔日,せきじつ,old days,,,,,
便り,たより,"news, tidings, information",,,,,
適切,てきせつ,"appropriate, suitable, fitting, apt",,,,,
吹き出す,吹き出すきだす,"wind music, wind instrument music",,,,,
兆候,ちょうこう,"sign, indication, omen, symptom",,,,,
怖がる,こわがる,"to be afraid of, fear",,,,,
辞退,じたい,"declining, refusal, nonacceptance",,,,,
否決,ひけつ,"rejection, negation",,,,,
遅刻,ちこく,"lateness, tardiness, arriving late",,,,,
煙る,けむる,to smoke,,,,,
生徒,せいと,"pupil, student",,,,,
欠ける,かける,"to chip, be chipped, break off",,,,,
迷惑,めいわく,"trouble, bother, annoyance, nuisance",,,,,
洗剤,せんざい,"detergent, cleanser",,,,,
交互,こうご,"alternate, mutual, reciprocal",,,,,
秀才,しゅうさい,"bright person, talented student, prodigy",,,,,
更ける,ふける,"to get late, advance, wear on",,,,,
歯医者,はいしゃ,dentist,,,,,
盗難,とうなん,"theft, robbery",,,,,
慣行,かんこう,"customary practice, habit",,,,,
一晩中,ひとばんじゅう,all night long,,,,,
貯金箱,ちょきんばこ,savings box,,,,,
到達,とうたつ,"reaching, attaining, arrival",,,,,
頂点,ちょうてん,"top, summit, vertex",,,,,
満杯,まんぱい,full,,,,,
皆目,かいもく,"entirely, (not) at all​",,,,,
招集,しょうしゅう,"call, summons",,,,,
寒気,さむけ,"chill, the shivers",,,,,
恥知らず,はじしらず,shameless,,,,,
お疲れ様,おつかれさま,thank you for your hard work,,,,,
貧乏,びんぼう,"poverty-stricken, destitute, poor",,,,,
子猫,こねこ,kitten,,,,,
誤差,ごさ,"measurement error, calculation error",,,,,
努めて,つとめて,"as much as possible, as far as possible",,,,,
幾分,いくぶん,"somewhat, to some extent, to some degree",,,,,
賞賛,しょうさん,"praise, admiration, commendation",,,,,
偶数,ぐうすう,even number​,,,,,
煩忙,はんぼう,"pressure of business, busy",,,,,
競泳,きょうえい,"competitive swimming, swimming race",,,,,
靴屋,くつや,"shoe store, shoe shop",,,,,
偉業,いぎょう,"great achievement, great feat",,,,,
