Kanji,ON,KN,K.Meaning,Level,Words.A,Words.B,Words.C
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
庁,CHOU,,government office,INT,官庁。庁舎。都庁。県庁,,気象庁。防衛庁。特許庁。市庁舎
序,JO,,preface・beginning・order,ADV,順序。秩序。序章。序文,,年功序列
床,SHOU,toko・yuka,bed・floor,INT,床。床屋。起床。病床。床下。寝床,臨床。温床,床入り。臨床医
底,TEI,soko,bottom・sole・depth,INT,底。徹底。根底。到底。海底。心底,底辺。底力。基底。川底。靴底。底流,底値。奥底。徹底的。底抜け。海底油田
庫,KO・KU,,warehouse・storehouse,INT,金庫。車庫。倉庫。在庫。文庫,国庫。宝庫。公庫,冷蔵庫。冷凍庫。格納庫
康,KOU,,ease・peace,ADV,健康。小康,健康的。不健康,健康食品。健康保険。健康診断
庶,SHO,,commoner,ADV,庶民。庶務。庶子,,庶民的。庶務課
廃,HAI,suta,abolish・obsolete・cessation,ADV,廃止。荒廃。廃棄。廃墟。撤廃。廃業,廃絶。廃屋。廃刊。廃案。廃材。退廃,廃坑。廃棄物。廃れる。廃る。退廃的
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
